SZ002594,2014-08-13T00:00:00.000000,0.050,0.000,0.000,0.000
SZ002594,2016-12-13T00:00:00.000000,0.367,0.000,0.000,0.000
SZ002594,2017-08-04T00:00:00.000000,0.178,0.000,0.000,0.000
SZ002594,2018-08-17T00:00:00.000000,0.141,0.000,0.000,0.000
SZ002594,2019-07-26T00:00:00.000000,0.204,0.000,0.000,0.000
SZ002594,2020-08-18T00:00:00.000000,0.060,0.000,0.000,0.000
SZ002594,2021-08-06T00:00:00.000000,0.148,0.000,0.000,0.000
SZ002594,2022-07-29T00:00:00.000000,0.105,0.000,0.000,0.000
SZ002594,2023-07-28T00:00:00.000000,1.142,0.000,0.000,0.000
SZ002594,2024-07-29T00:00:00.000000,3.098,0.000,0.000,0.000
SZ002594,2025-07-29T00:00:00.000000,3.974,2.000,0.000,0.000
SZ002594,2026-07-31T00:00:00.000000,0.358,0.000,0.000,0.000
SZ002594,2014-08-13T00:00:00.000000,0.050,0.000,0.000,0.000
SZ002594,2016-12-13T00:00:00.000000,0.367,0.000,0.000,0.000
SZ002594,2017-08-04T00:00:00.000000,0.178,0.000,0.000,0.000
SZ002594,2018-08-17T00:00:00.000000,0.141,0.000,0.000,0.000
SZ002594,2019-07-26T00:00:00.000000,0.204,0.000,0.000,0.000
SZ002594,2020-08-18T00:00:00.000000,0.060,0.000,0.000,0.000
SZ002594,2021-08-06T00:00:00.000000,0.148,0.000,0.000,0.000
SZ002594,2022-07-29T00:00:00.000000,0.105,0.000,0.000,0.000
SZ002594,2023-07-28T00:00:00.000000,1.142,0.000,0.000,0.000
SZ002594,2024-07-29T00:00:00.000000,3.098,0.000,0.000,0.000
SZ002594,2025-07-29T00:00:00.000000,3.974,2.000,0.000,0.000
SZ002594,2026-07-31T00:00:00.000000,0.358,0.000,0.000,0.000
